Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,-0.0029209,-0.0031606,-0.00063348,0,0,0,0.69041,0.0015113,7.9759E-06,-4.8044E-06,0.0041376,-3.1062E-07,0.0047254,0,0,0,0,0,0,package://SVANM2_URDF/meshes/BASE.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/BASE.STL,,torso-1,Coordinate System3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RF_HIP,0.037719,-0.070545,0.0014923,0,0,0,0.31268,0.00021891,1.317E-06,-1.1297E-06,0.00032452,-5.9636E-14,0.00021074,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RF_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RF_HIP.STL,,hip2-2,Coordinate System15,Axis2,RF_HAA_JOINT,revolute,0.155,-0.06,0,0,0,0,BASE,-1,0,0,200,0.5,-3.14,3.14,,,,,,,,
RF_THIGH,-2.6817E-05,-0.001752,-0.072996,0,0,0,0.14099,0.00052987,4.2352E-22,-6.0216E-09,0.00055476,9.5038E-11,2.6322E-05,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RF_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RF_THIGH.STL,,upper_leg-7,Coordinate System10,Axis6,RF_HFE_THIGH,revolute,0.043751,-0.0796,0,0,0,0,RF_HIP,0,-1,0,0,0,0,0,,,,,,,,
RF_SHANK,5.0484E-09,-1.6149E-09,-0.062465,0,0,0,0.1096,0.0001129,4.7429E-12,-1.9491E-12,0.00012303,2.4378E-12,1.612E-05,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RF_SHANK.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RF_SHANK.STL,,lower_leg-7,Coordinate System14,Axis10,RF_KFE_JOINT,revolute,0,0,-0.1915,0,0,0,RF_THIGH,0,-1,0,200,0.5,-3.14,3.14,,,,,,,,
LF_HIP,0.0377193375697341,0.0705448743477378,0.00149233987502351,0,0,0,0.312676789203381,0.000218908669511642,-1.31703177826292E-06,-1.12966650460381E-06,0.000324515002372769,-5.96350355714808E-14,0.000210739100621822,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LF_HIP.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LF_HIP.STL,,hip11-2,Coordinate System16,Axis1,LF_HAA_JOINT,revolute,0.155,0.06,0,0,0,0,BASE,1,0,0,0,0,0,0,,,,,,,,
LF_THIGH,2.68169567222976E-05,0.00175204708841353,-0.0729963152159531,0,0,0,0.140989975248746,0.000529869416364495,5.50571415715295E-21,6.02162192350061E-09,0.000554758426447125,-9.50377320868695E-11,2.63215810248275E-05,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LF_THIGH.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LF_THIGH.STL,,upper_leg-5,Coordinate System7,Axis3,LF_HFE_JOINT,revolute,0.043751,0.0796,0,0,0,0,LF_HIP,0,1,0,0,0,0,0,,,,,,,,
LF_SHANK,-5.04815861335217E-09,1.61494195793921E-09,-0.0624652298078301,0,0,0,0.109595394746307,0.000112904177109895,4.74294124804762E-12,1.94911367299434E-12,0.000123028573758216,-2.4378112696625E-12,1.61202572157673E-05,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LF_SHANK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LF_SHANK.STL,,lower_leg-5,Coordinate System11,Axis7,LF_KFE_JOINT,revolute,0,0,-0.1915,0,0,0,LF_THIGH,0,1,0,0,0,0,0,,,,,,,,
LH_HIP,-0.0377193375700238,0.0705448745489007,0.00149233987577679,0,0,0,0.312676789203384,0.000218908669511643,1.31703158438877E-06,1.12966650460361E-06,0.000324515002372772,5.96378825253171E-14,0.000210739100621823,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LH_HIP.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LH_HIP.STL,,hip2-1,Coordinate System17,Axis1,LH_HAA_JOINT,revolute,-0.155,0.06,0,0,0,0,BASE,1,0,0,0,0,0,0,,,,,,,,
LH_THIGH,2.68169570715182E-05,0.00175204708841342,-0.0729963152168629,0,0,0,0.140989975248747,0.000529869416364496,-4.2351647362715E-22,6.02162192414368E-09,0.000554758426447125,-9.50377318919169E-11,2.63215810248276E-05,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LH_THIGH.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LH_THIGH.STL,,upper_leg-6,Coordinate System8,Axis4,LH_HFE_JOINT,revolute,-0.043751,0.0796,0,0,0,0,LH_HIP,0,-1,0,0,0,0,0,,,,,,,,
LH_SHANK,5.0491181236012E-09,-1.61494095873849E-09,-0.0624652298101487,0,0,0,0.109595394746307,0.000112904177109894,4.74294124444773E-12,-1.94911370384873E-12,0.000123028573758215,2.43781361226212E-12,1.61202572157673E-05,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LH_SHANK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/LH_SHANK.STL,,lower_leg-6,Coordinate System12,Axis8,LH_KFE_JOINT,revolute,0,0,-0.1915,0,0,0,LH_THIGH,0,1,0,0,0,0,0,,,,,,,,
RH_HIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RH_HIP.STL,1,1,1,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RH_HIP.STL,,hip11-1,Coordinate System18,Axis2,RH_HAA_JOINT,revolute,-0.155,-0.06,0,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
RH_THIGH,-2.68169567215759E-05,-0.00175204708840673,-0.072996315215951,0,0,0,0.140989975248746,0.000529869416364493,8.470329472543E-22,-6.02162192360616E-09,0.000554758426447123,9.50377434244237E-11,2.63215810248275E-05,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RH_THIGH.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RH_THIGH.STL,,upper_leg-8,Coordinate System9,Axis5,RH_HFE_JOINT,revolute,-0.043751,-0.0796,0,0,0,0,RH_HIP,0,1,0,0,0,0,0,,,,,,,,
RH_SHANK,5.03855235312045E-09,-1.61494861927736E-09,-0.0624652298078318,0,0,0,0.109595394746307,0.000112904177109895,4.74294123618916E-12,-1.94911369029554E-12,0.000123028573758215,2.43781237615024E-12,1.61202572157673E-05,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RH_SHANK.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVANM2_URDF/meshes/RH_SHANK.STL,,lower_leg-8,Coordinate System13,Axis9,RH_KFE_JOINT,revolute,0,0,-0.1915,0,0,0,RH_THIGH,0,-1,0,0,0,0,0,,,,,,,,
