Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Torso,-0.00286895607808574,0.00265145640453357,-0.000575030338553217,0,0,0,0.760585323592557,0.00423896620981017,-7.97588776330855E-06,-3.11177245342516E-07,0.00187800626826909,4.80442218890145E-06,0.00499090200165551,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Torso.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Torso.STL,,torso-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Hip1,0.0705448743477357,-0.037719337569736,0.00149233987498409,0,0,0,0.312676789203382,0.000324515002372771,1.3170317782626E-06,-5.96353805521184E-14,0.00021890866951164,1.12966650460391E-06,0.00021073910062182,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Hip1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Hip1.STL,,hip11-2,Coordinate System14,Axis5,hip1,revolute,0.06,-0.158,0,0,0,0,Torso,0,-1,0,200,0.5,-1.57,1.57,,,,,,,,
Upper_leg1,0.00175204708853771,-2.68169567386178E-05,-0.0729963152160069,0,0,0,0.140989975248746,0.000554758426447124,-2.96461531539005E-20,-9.50377322286433E-11,0.000529869416364495,-6.02162192412027E-09,2.63215810248274E-05,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Upper_leg1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Upper_leg1.STL,,upper_leg-5,Coordinate System10,Axis1,upper_leg1,revolute,0.0796,-0.043751,0,0,0,0,Hip1,1,0,0,200,0.5,-1.57,1.57,,,,,,,,
Lower_leg1,-0.0129999983850947,5.04815789170721E-09,-0.0624652298078687,0,0,0,0.109595394746307,0.000123028573758215,-4.74294125821201E-12,-2.4378112656322E-12,0.000112904177109895,-1.94911373774005E-12,1.61202572157673E-05,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Lower_leg1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Lower_leg1.STL,,lower_leg-5,Coordinate System6,Axis7,lowe_leg1,revolute,0.013,0,-0.1915,0,0,0,Upper_leg1,1,0,0,200,0.5,-1.57,1.57,,,,,,,,
Empty_Link1,0.00118361144573886,-0.00122847127757159,-0.000461569885447544,0,0,0,3.61444772362061E-05,5.92088536545115E-11,2.84242361369235E-26,5.20349408421753E-27,7.48778777767476E-11,2.26645347805441E-27,1.09990413273788E-10,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Empty_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Empty_Link1.STL,,dummy-6,Coordinate System2,,j1,fixed,-0.013,0,-0.18504,0,0,0,Lower_leg1,0,0,0,,,,,,,,,,,,
Hip2,0.070544874548909,0.0377193375700263,0.00149233987578046,0,0,0,0.312676789203385,0.000324515002372772,-1.31703158438997E-06,5.96371790098605E-14,0.000218908669511638,-1.12966650460456E-06,0.000210739100621817,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Hip2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Hip2.STL,,hip2-1,Coordinate System15,Axis5,hip2,revolute,0.06,0.158,0,0,0,0,Torso,0,-1,0,200,0.5,-1.57,1.57,,,,,,,,
Upper_leg2,0.00175204708845511,-2.68169581731925E-05,-0.0729963152148478,0,0,0,0.140989975248746,0.000554758426447124,3.81164826264435E-20,-9.50377320691134E-11,0.000529869416364495,-6.02162192383302E-09,2.63215810248274E-05,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Upper_leg2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Upper_leg2.STL,,upper_leg-6,Coordinate System11,Axis2,upper_leg2,revolute,0.0796,0.043751,0,0,0,0,Hip2,-1,0,0,200,0.5,-1.57,1.57,,,,,,,,
Lower_leg2,-1.61500413042859E-09,-5.04754371632998E-09,-0.0624652298090245,0,0,0,0.109595394746307,0.000123028573758215,-4.74294126255306E-12,2.43781355428982E-12,0.000112904177109895,1.94911377295234E-12,1.61202572157673E-05,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Lower_leg2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Lower_leg2.STL,,lower_leg-6,Coordinate System7,Axis8,lower_leg2,revolute,0,0,-0.1915,0,0,0,Upper_leg2,1,0,0,200,0.5,-1.57,1.57,,,,,,,,
Empty_Link2,0.00118361144712847,0.00222847127611081,-0.000461569885447544,0,0,0,3.61444772362057E-05,5.92088536545097E-11,-2.79143164477886E-25,4.26713052803023E-27,7.48778777767469E-11,-1.03843461186547E-27,1.09990413273786E-10,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Empty_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Empty_Link2.STL,,dummy-9,Coordinate System3,Axis_j2,j2,fixed,0,0,-0.185038430116915,0,0,0,Lower_leg2,0,0,0,,,,,,,,,,,,
Hip3,-0.0705448743477398,0.0377193375706965,0.0014923398750224,0,0,0,0.312676789203378,0.000324515002372769,1.31703177826256E-06,5.96359093521403E-14,0.000218908669511641,-1.12966650460395E-06,0.000210739100621824,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Hip3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SVAN_URDF4/meshes/Hip3.STL,,hip11-1,Coordinate System16,Axis6,hip3,revolute,-0.06,0.158,0,0,0,0,Torso,0,1,0,200,0.5,-1.57,1.57,,,,,,,,
